"","Nome d'arte","Nome","Sesso","Attività","Paesi.di.prima.pubblicazione","Mercati","Editori","Insegna.presso"
"1511",NA,"Porretto, Rita","F","Sceneggiatura","IT","P","Sergio Bonelli Editore, Star Comics",NA
"1512",NA,"Portipiano, Emanuela","F","Sceneggiatura","IT","P","The Walt Disney Company",NA
"1513",NA,"Portolano, Cristina","F","Autrice unica","IT","GN","Canicola Edizioni, Centauria, Coconino Press, Editions du Chene, Il Battello a Vapore, Rackham, Rizzoli Lizard, Topipittori",NA
"1514",NA,"Possenti, Christopher","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"1515",NA,"Postiglione, Alfredo","M","Disegni","IT","GN","Shockdom",NA
"902","Giopota","Pota, Giovanni","M","Autore unico","IT","GN","Bao Publishing, Il Battello a Vapore",NA
"1516",NA,"Potito, Stefania","F","Disegni","IT","GN","Tunué",NA
"1517",NA,"Pozza, Luca","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"805","Fraffrog","Presentini, Francesca","F","Autrice unica","IT","GN","Shockdom",NA
"1519",NA,"Pressato, Lavinia","F","Colori","IT","GN","Tunué",NA
"1520",NA,"Previati, Alice","F","Colori","IT, FR","P, GN","Egmont, Lavieri Edizioni, Panini Comics, San Paolo Periodici",NA
"1521",NA,"Principato, Maurizio","M","Sceneggiatura","IT","P","Sergio Bonelli Editore",NA
"1522",NA,"Priori, Giulia","F","Colori","IT","GN","Tunué",NA
"1523",NA,"Prisco, Giuseppe","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"1524",NA,"Prisco, Simone","M","Autore unico","IT","GN","Douglas",NA
"1525",NA,"Procura, Sissi","F","Sceneggiatura","IT","GN","Mangasenpai",NA
"1527",NA,"Proietti, Fernando","M","Disegni","IT, FR","P, GN","Éditions Glenat, Sergio Bonelli Editore",NA
"1528",NA,"Proietto, Andrea","M","Disegni","IT","GN","Passenger Press",NA
"1529",NA,"Pronostico, Antonio","M","Disegni","IT","GN","Coconino Press",NA
"1530",NA,"Pucciarelli, Gianluigi","M","Sceneggiatura","IT","GN","BeccoGiallo",NA
"1531",NA,"Puccio, Pietro","M","Disegni","IT","P","The Walt Disney Company",NA
"1532",NA,"Pugliese, Marco","M","Disegni","IT","GN","Tunué",NA
"1984","Vorticerosa","Puglisi, Rosa","F","Disegni, colori","IT","GN","It Comics",NA
"1533",NA,"Pullano, Giovanni","M","Disegni","IT","GN","BeccoGiallo, Edizioni INKiostro",NA
"1534",NA,"Puppo, Manuel Ananda","M","Colori","IT, FR","P, GN","Éditions Dupuis, Éditions Glenat, Éditions le Lombard, Petit à Petit, The Walt Disney Company",NA
"1535",NA,"Putignano, Pierpaolo","M","Autore unico, disegni","IT","GN","Kleiner Flug",NA
"1536",NA,"Quaglia, Marta","F","Disegni","IT","GN","Shockdom",NA
"1537",NA,"Quaglia, Sauro","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"1538",NA,"Qualano, Pasquale","M","Disegni","IT, USA","P","DC Comics, IDW Publishing, Marvel Comics",NA
"1539",NA,"Quarello, Maurizio","M","Autore unico","FR","GN","Editions des elephants",NA
"1541",NA,"Quattrocchi, Giuseppe Carlo","M","Disegni","IT, FR","GN","Éditions Glenat, Éditions Soleil, Rizzoli Lizard","Scuola del fumetto (Verona/Milano)"
"1542",NA,"Racca, Emanuele","M","Autore unico","IT","GN","Bao Publishing",NA
"1543",NA,"Raddi, Valentina","F","Disegni","IT","GN","Kleiner Flug, Shockdom",NA
"1544",NA,"Radice, Teresa","F","Sceneggiatura","IT, FR","P, GN","Bao Publishing, Dargaud, The Walt Disney Company",NA
"1545",NA,"Raffaele, Stefano","M","Disegni","IT, FR, USA","P, GN","DC Comics, Éditions Soleil, Les Humanoides Associes, Marvel Comics, SaldaPress",NA
"1546",NA,"Raffaelli, Paolo","M","Disegni","IT, FR","P, GN","Éditions Clair de Lune, Sergio Bonelli Editore",NA
"1547",NA,"Ragazzoni, Luciano","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"1548",NA,"Ragazzoni, Simone","M","Colori","IT","P, GN","BD, Sergio Bonelli Editore",NA
"1549",NA,"Ragona, Andrea","M","Sceneggiatura","IT","GN","BeccoGiallo",NA
"1550",NA,"Raho, Rosario","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"1551",NA,"Raimondi, Chiara","F","Disegni","IT","GN","Shockdom",NA
"1552",NA,"Raimondo, Luca","M","Disegni","IT, FR","P, GN","Éditions Glenat, Éditions Soleil, Sergio Bonelli Editore",NA
"1553",NA,"Rak, Alessandro","M","Autore unico","IT","GN","Lavieri Edizioni, Rizzoli Lizard",NA
"1554",NA,"Ralli, Luca","M","Autore unico","IT","GN","Barta Edizioni, Round Robin",NA
"1555",NA,"Ramacci, Fabio","M","Disegni","IT","P","Sergio Bonelli Editore, Star Comics",NA
"1556",NA,"Ramella, Bruno","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"1557",NA,"Ramella, Giuliano","M","Sceneggiatura","IT","GN","ReNoir Comics",NA
"1558",NA,"Randazzo, Riccardo","M","Disegni","IT","P","Bugs Comics, Edizioni INKiostro",NA
"1559",NA,"Ranghiasci, Alessandro","M","Disegni","IT","GN","BeccoGiallo",NA
"1560",NA,"Rasori, Augusto","M","Autore unico","IT","GN","Sbam! Comics",NA
"1561",NA,"Rastrelli, Marco","M","Sceneggiatura","IT, FR","GN","Kleiner Flug, Tabou",NA
"1563",NA,"Rauch, Jacopo","M","Sceneggiatura","IT","P","Sergio Bonelli Editore",NA
"1564",NA,"Raule, Suzanna","F","Sceneggiatura","IT, FR","P, GN","Casterman, Panini Comics",NA
"1565",NA,"Ravazzani, Alessio","M","Lettering","IT","P, GN","Coconino Press, Panini Comics, SaldaPress, Sergio Bonelli Editore",NA
"1566",NA,"Ravera, Roberto","M","Sceneggiatura","IT","P","Sergio Bonelli Editore",NA
"1567",NA,"Razzi, Manuela","F","Disegni","IT, FR","P, GN","Éditions le Lombard, The Walt Disney Company",NA
"1334","Nuke","Razzoli, Claudia","F","Autrice unica","IT","GN","Kleiner Flug, Rizzoli Lizard",NA
"1568",NA,"Rea, Arianna","F","Disegni","IT, FR","GN","Éditions Soleil, The Walt Disney Company, Tunué","SRF - Scuola Romana dei Fumetti"
"1569",NA,"Rea, Roberta","F","Autrice unica","IT","GN","Shockdom",NA
"1570",NA,"Recagno, Carlo","M","Sceneggiatura","IT","P","Sergio Bonelli Editore",NA
"1571",NA,"Recchione, Liana","F","Disegni, colori","IT","GN","Shockdom","Scuola internazionale di Comics - Pescara"
"1572",NA,"Recchioni, Roberto","M","Autore unico, sceneggiatura","IT","P, GN","Bao Publishing, Edizioni NPE, Feltrinelli Editore, Sergio Bonelli Editore","SRF - Scuola Romana dei Fumetti"
"2013","Zerocalcare","Rech, Michele","M","Autore unico","IT","GN","Bao Publishing",NA
"1573",NA,"Recupero, Antonio","M","Sceneggiatura","IT","GN","Round Robin, Tunué",NA
"1574",NA,"Regattin, Matteo","M","Autore unico","IT","GN","Edizioni NPE",NA
"1575",NA,"Regazzoni, Luciano","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"1576",NA,"Regni, Angelica","F","Disegni","IT","GN","Kleiner Flug",NA
"1577",NA,"Regolo, Daniele","M","Sceneggiatura","IT","P","The Walt Disney Company",NA
"1579",NA,"Reize, Alekos","M","Autore unico","IT","GN","BeccoGiallo",NA
"1581",NA,"Renieri, Tommaso","M","Disegni","FR","GN","Éditions Clair de Lune",NA
"1582",NA,"Renna, Marco","M","Disegni","IT, USA","P","DC Comics, Marvel Comics, Panini Comics",NA
"1583",NA,"Repossi, Alessandra","F","Sceneggiatura","IT","GN","BeccoGiallo",NA
"1584",NA,"Resinanti, Matteo","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"1585",NA,"Restardi, Marcello","M","Disegni","IT","GN","BeccoGiallo",NA
"1586",NA,"Reviati, Davide","M","Autore unico","IT","GN","BeccoGiallo, Coconino Press",NA
"1587",NA,"Riboldi, Enea","M","Disegni","FR","GN","Casterman, Dargaud, Éditions Glenat, Les Humanoides Associes","Scuola internazionale di Comics - Milano"
"1588",NA,"Riboldi, Riccardo","M","Lettering","IT","P","Sergio Bonelli Editore",NA
"1589",NA,"Ricca, Luigi","M","Autore unico","IT","GN","Tunué",NA
"1590",NA,"Riccadonna, Andrea","M","Disegni","IT","P, GN","Kleiner Flug, Sergio Bonelli Editore","Scuola internazionale di Comics - Torino"
"1591",NA,"Riccardi, Sergio","M","Disegni","IT","GN","Tunué",NA
"1592",NA,"Riccardi, Vincenzo","M","Disegni","IT, FR","P, GN","Éditions Clair de Lune, Sergio Bonelli Editore, Vestron",NA
"1593",NA,"Ricci, Angelo Maria","M","Disegni","IT","P","Astorina",NA
"1594",NA,"Ricci, Marco","M","Disegni","IT","P","Astorina",NA
"1595",NA,"Ricci, Roberto","M","Disegni","FR","GN","Dargaud, Futuropolis, Les Humanoides Associes",NA
"1596",NA,"Ricci, Stefano","M","Autore unico","IT, DE","GN","Coconino Press, Quodlibet",NA
"1597",NA,"Ricciardi, Giuseppe ""Iko""","M","Disegni","IT, FR","GN","Éditions Soleil, Edizioni NPE","Scuola italiana di Comix (Napoli)"
"1598",NA,"Riccio, Giuseppe","M","Sceneggiatura","IT","P","Sergio Bonelli Editore",NA
"1599",NA,"Riccio, Maria","F","Disegni","IT, FR","P, GN","Edizioni INKiostro, Petit à Petit",NA
"1600",NA,"Riccio, Renato","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"1601",NA,"Riccioni, Francesca","F","Sceneggiatura","IT","GN","Rizzoli Lizard",NA
"1602",NA,"Rigamonti, Davide","M","Sceneggiatura","IT","P","Sergio Bonelli Editore",NA
"1603",NA,"Rigano, Giovanni","M","Disegni","IT","P","Sergio Bonelli Editore, The Walt Disney Company",NA
"1604",NA,"Righi, Nicola","M","Colori","IT","P","Sergio Bonelli Editore",NA
"1605",NA,"Rinaldi, Pino","M","Disegni","FR","GN","Éditions Soleil",NA
"1606",NA,"Rinaldi, Roberto","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"1607",NA,"Rincione, Giulio","M","Disegni","IT","P, GN","Sergio Bonelli Editore, Shockdom","Scuola internazionale di Comics - Napoli"
"1608",NA,"Rincione, Marco","M","Sceneggiatura","IT","GN","Shockdom",NA
"1609",NA,"Ripane, Alessandro","M","Autore unico","IT","GN","Hoppipolla",NA
"1610",NA,"Ripoli, Francesco","M","Disegni","IT, FR","P, GN","BD, Éditions Soleil, Physalis, Sergio Bonelli Editore",NA
"1611",NA,"Risuleo, Fulvio","M","Autore unico, sceneggiatura","IT","GN","001 Edizioni, Coconino Press",NA
"1613",NA,"Riva, Claudio","M","Sceneggiatura","IT","GN","BeccoGiallo",NA
"1614",NA,"Rizzato, Francesco","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"1615",NA,"Rizzi, Enzo","M","Sceneggiatura","IT","GN","Cut Up Publishing, Edizioni NPE","Grafite - Scuola di grafica e fumetto (Taranto)"
"1616",NA,"Rizzo, Marco","M","Sceneggiatura","IT","GN","BD, BeccoGiallo, Feltrinelli Editore, Rizzoli Lizard",NA
"1617",NA,"Rocca, Massimo","M","Colori","IT, FR","P, GN","Éditions Delcourt, The Walt Disney Company",NA
"1090","Maicol & Mirco","Rocchetti, Michael","M","Autore unico","IT","GN","Bao Publishing, Coconino Press",NA
"1618",NA,"Rocchi, Ciaj","M","Disegni","IT","GN","BeccoGiallo",NA
"1619",NA,"Rocchi, Diana","F","Lettering","IT","P","Sergio Bonelli Editore",NA
"1620",NA,"Rocchi, Marco","M","Sceneggiatura","IT","GN","Kleiner Flug, Tunué",NA
"1621",NA,"Rocchi, Silvia","F","Autrice unica","IT","GN","BeccoGiallo, Canicola Edizioni, Rizzoli Lizard",NA
"1622",NA,"Roi, Corrado","M","Disegni","IT","P","BD, Sergio Bonelli Editore",NA
"1623",NA,"Rollo, Enrico Gabriele","M","Colori","IT","P, GN","Sergio Bonelli Editore, Tunué",NA
"1624",NA,"Romagnoli, Elisabetta","F","Autrice unica","IT","GN","Bao Publishing",NA
"1625",NA,"Romagnoli, Laura","F","Autrice unica","IT","GN","BeccoGiallo",NA
"1626",NA,"Romboli, Elisa","F","Disegni","IT","GN","Shockdom",NA
"1627",NA,"Romeo, Alessandro","M","Autore unico","IT","GN","Canicola Edizioni",NA
"1628",NA,"Romeo, Valentina","F","Disegni","IT","P","Sergio Bonelli Editore",NA
"1629",NA,"Ronchi, Roberto","M","Disegni","IT","P","The Walt Disney Company",NA
"1630",NA,"Rosenzweig, Maurizio","M","Disegni","IT","P, GN","BD, Sergio Bonelli Editore",NA
"1631",NA,"Rosi, Massimo","M","Sceneggiatura","IT, FR, USA","P, GN","Action Lab Entertainment, Caliber Comics, Éditions Delcourt, Leviathan Labs, Scout Comics, Shockdom","The Sign - Comics & Arts Academy (Firenze)"
"959","Holdenaccio","Rossetti, Antonio","M","Autore unico","IT","GN","Bao Publishing",NA
"1632",NA,"Rossetti, Eva","F","Disegni","IT, FR","GN","BeccoGiallo, Steinkis",NA
"1633",NA,"Rossetto, Andrea","M","Disegni","IT, FR","P, GN","Edizioni NPE, Les Humanoides Associes, ReNoir Comics, Sergio Bonelli Editore","Scuola internazionale di Comics - Padova"
"1634",NA,"Rossi Edrighi, Federico","M","Autore unico","IT","P, GN","Bao Publishing, Coconino Press, Sergio Bonelli Editore, Star Comics, The Walt Disney Company",NA
"1635",NA,"Rossi, Armando","M","Disegni","IT, FR","P, GN","Casterman, Panini Comics",NA
"1636",NA,"Rossi, Filippo","M","Sceneggiatura","IT","GN","Kleiner Flug","Scuola internazionale di Comics - Firenze"
"1637",NA,"Rossi, Francesco","M","Disegni","IT","GN","Shockdom",NA
"1638",NA,"Rossi, Luca","M","Disegni","IT","P","Sergio Bonelli Editore",NA
