Numero,Nome,Sesso,Attività,Paesi di prima pubblicazione,Mercati,Editori,Insegna presso
,"Bruno, Andrea",M,Autore unico,IT,GN,"Coconino Press, Canicola Edizioni",Accademia di Belle Arti di Bologna (Corso fumetto e illustrazione)
,"Borio, Cristina",F,Colori,IT,P,Sergio Bonelli Editore,
,"Cosi, Francesca",F,Sceneggiatura,IT,GN,Beccogiallo,
,"Barone, Gianluca",M,Disegni,IT,P,The Walt Disney Company,
,"Cambi, Valentina",F,Sceneggiatura,IT,P,The Walt Disney Company,
,"Ferrara, Giuseppe",M,Sceneggiatura,IT,P,Bugs Comics,
,"Gozzi, Alessandra",F,Lettering,IT,P,Panini Comics,
,"Martinelli, Sara",F,Colori,FR,GN,Editions Delcourt,
,"Izzo, Alessandro",M,Sceneggiatura,IT,GN,Kleiner Flug,
,"Neri, Filippo",M,Disegni,FR,GN,Petit à Petit,
,"Parisi, Andrea",M,Disegni,"FR, IT","P, GN","The Walt Disney Company, Bugs Comics, Le Editions Le Lombard",
,"Ravera, Roberto",M,Sceneggiatura,IT,P,Sergio Bonelli Editore,
,"Poggi, Roberto",M,Chine,"IT, US",P,"Panini Comics, Marvel Comics",
,"Salade, Pierre",M,Sceneggiatura,IT,P,The Walt Disney Company,
,"Rocchi, Diana",F,Lettering,IT,P,Sergio Bonelli Editore,
,"Proietto, Andrea",M,Disegni,IT,GN,Passenger Press,
,"Di Marco, Salvo",M,Disegni,IT,P,The Walt Disney Company,
,"Simeoni, Stefano",M,Disegni,"FR, IT","P, GN","The Walt Disney Company, Editions Delcourt",
,"Tani, Paolo",M,Disegni,IT,P,Astorina,
,"Vincenti, Antonio",M,Autore unico,IT,GN,"BAO Publishing, Tunué, Editrice Il Castoro","The Sign - Comics & Arts Academy (Firenze), NID - Nuovo Istituto Design (Perugia)"
,"Siena, Francesco",M,Disegni,IT,P,"Sergio Bonelli Editore, Alias - il Manifesto",NID - Nuovo Istituto Design (Perugia)
