Numero,Nome,Sesso,Attività,Paesi di prima pubblicazione,Mercati,Editori,Insegna presso
,"Vigna, Giuseppe",,Sceneggiatura,IT,P,"Sergio Bonelli Editore, The Walt Disney Company, Kleiner Flug",CIF - Centro internazionale del fumetto (Cagliari)
,"Baccinelli, Emmanuele",M,Disegni,IT,P,The Walt Disney Company,
,"Sisti, Alessandro",M,Sceneggiatura,IT,P,The Walt Disney Company,Scuola internazionale di Comics - Genova
,"Limido, Carlo",M,Disegni,IT,P,The Walt Disney Company,
,"Zironi, Giuseppe",M,"Disegni, Sceneggiatura",IT,P,The Walt Disney Company,
,"Busticchi, Fabrizio",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Paesani, Luana",F,Disegni,IT,P,Sergio Bonelli Editore,
,"Cipriani, Massimo",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Recagno, Carlo",M,Sceneggiatura,IT,P,Sergio Bonelli Editore,
,"Giomarelli, Selina",F,Sceneggiatura,IT,GN,Mangasenpai,
,"Landi, Francesca",F,Disegni,IT,GN,Mangasenpai,
,"Cascioli, Andrea",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Sommacal, Giorgio",M,Disegni,IT,P,"Sergio Bonelli Editore, ReNoir Comics, Sbam! Comics",Scuola superiore d'arte applicata (Milano)
,"Voltolini, Stefano",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Algozzino, Sergio",M,"Colori, Autore unico",IT,"P, GN","Sergio Bonelli Editore, Tunué, Beccogiallo","Scuola internazionale di Comics - Pescara/Roma, Scuola di fumetto (Associazione scuola di fumetto - varie sedi)"
,"Cossi, Paolo",M,Autore unico,IT,GN,"Hazard Edizioni, Beccogiallo",
,"Fumasoli, Gianmarco",M,Sceneggiatura,IT,P,Bugs Comics,
,"Filadoro, Massimiliano",M,Sceneggiatura,"FR, IT","P, GN","Bugs Comics, Editions Clair de Lune",Scuola internazionale di Comics - Roma
,"Formisano, Luigi",M,Disegni,IT,P,"Sergio Bonelli Editore, Bugs Comics",
,"Tanzillo, Emiliano",M,"Disegni, Colori","FR, IT","P, GN","Sergio Bonelli Editore, Editions Delcourt",SRF - Scuola Romana dei Fumetti
,"Verdi, Ugo",M,Disegni,IT,GN,Cronache di Topolinia,
,"Spadavecchia, Cristiano",M,Disegni,IT,P,Sergio Bonelli Editore,Scuola di fumetti di Asti
,"Russo, Alessandro",M,"Disegni, Sceneggiatura",IT,P,Sergio Bonelli Editore,
,"Lamberti, Luca",M,Disegni,"IT, US",P,"Shockdom, Bugs Comics, IDW Publishing",
,"Paggiaro, Andrea",M,Autore unico,IT,GN,"Rizzoli Lizard Lizard, Topipittori, BD",
,"Silvestri, Guido",M,Autore unico,IT,P,"Panini Comics, COMICON Edizioni",
,"Peddes, Gabriele",M,"Disegni, Autore unico",IT,GN,Tunué,
,"Milani, Alice",F,Autrice unica,IT,GN,"Beccogiallo, Feltrinelli Editore",
,"Flandoli, Claudia",F,Autrice unica,IT,GN,"Editoriale Scienza, CNR",
,"Micelli, Alessandro",M,Disegni,US,P,"Valiant Entertainment, Oni Press",
,"Natangelo, Mario",M,Autore unico,IT,GN,Magic Press Edizioni,
,"Leoni, Walter",M,"Disegni, Autore unico",IT,P,Smemoranda,
,"Ponchione, Sergio",M,"Disegni, Autore unico",IT,"P, GN","Sergio Bonelli Editore, Oblomov Edizioni",Scuola di fumetti di Asti
,"Mortarino, Francesco",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Saudelli, Franco",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Riboldi, Enea",M,Disegni,FR,GN,"Casterman, Les Humanoides Associes, Editions Glenat, Dargaud",Scuola internazionale di Comics - Milano
,"Bonfanti, Stefano",M,Disegni,"FR, IT",GN,"Edizioni Dentiblù, Casterman, Editions Glenat",
,"Barbieri, Barbara",F,Sceneggiatura,"FR, IT",GN,"Edizioni Dentiblù, Casterman, Editions Glenat",
,"Di Virgilio, Alessandro",M,Sceneggiatura,IT,GN,"Tunué, Beccogiallo, Edizioni Inkiostro, Noise Pres",
,"Monteleone, Michele",M,Autore unico,IT,"P, GN","Sergio Bonelli Editore, Star Comics, BAO Publishing",
,"Di Nicuolo, Daniele",M,Disegni,"FR, IT","P, GN","Sergio Bonelli Editore, Editions Glenat",
,"Cardinali, Vanessa",F,Autrice unica,IT,GN,BAO Publishing,Scuola internazionale di Comics - Pescara
,"Domestici, Andrea",M,"Disegni, Autore unico",IT,P,San Paolo Periodici,
,"Talarico, Mauro",M,Autore unico,IT,GN,001 Edizioni,Scuola internazionale di Comics - Roma
,"Di Bernardo, Giuseppe",M,Disegni,IT,P,Astorina,The Sign - Comics & Arts Academy (Firenze)
,"Manunta, Giuseppe",M,Disegni,"FR, IT","P, GN","The Walt Disney Company, Editions Clair de Lune, Editions du Long Bec",
,"Turini, Marco",M,Disegni,"IT, US","P, GN","Edizioni Inkiostro, Dc Comics, Marvel Comics",
,"Santoro, Stefano",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Rizzi, Enzo",M,Sceneggiatura,IT,GN,"Cut Up Publishing, Edizioni NPE",Grafite - Scuola di grafica e fumetto (Taranto)
,"Disegni, Stefano",M,Autore unico,IT,GN,Rizzoli Lizard Lizard,
,"Cavezzali, Massimo",M,Autore unico,IT,GN,Cut Up Publishing,
,"Munoz, Jose'",M,"Disegni, Autore unico",IT,GN,"Coconino Press, Oblomov Edizioni",
,"Di Orazio, Paolo",M,Sceneggiatura,IT,P,"Sergio Bonelli Editore, Edizioni Inkiostro",Scuola internazionale di Comics - Napoli
,"Mattotti, Lorenzo",M,"Disegni, Autore unico",IT,GN,"Coconino Press, COMICON Edizioni, Logos Edizioni",
,"Leone, Cinzia",F,Autrice unica,IT,GN,"Rizzoli Lizard, Comix",
,"Troiano, Enzo",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Giardino, Vittorio",M,Autore unico,IT,GN,Rizzoli Lizard Lizard,
,"Brolli, Daniele",M,Sceneggiatura,IT,"P, GN","Sergio Bonelli Editore, Star Comics, Oblomov Edizioni",
,"Uzzeo, Mauro",M,Sceneggiatura,IT,P,Sergio Bonelli Editore,
,"Catalano, Monica",F,Disegni,"FR, IT","P, GN","The Walt Disney Company, Editions Clair de Lune",
,"Bonfatti, Massimo",M,"Disegni, Autore unico",IT,"P, GN","SaldaPress, Sergio Bonelli Editore, The Walt Disney Company",
,"Letizia, Bruno",M,Sceneggiatura,FR,GN,Les Humanoides Associes,
,"Lapone, Antonio",M,"Disegni, Sceneggiatura",IT,P,The Walt Disney Company,
,"Schiti, Valerio",M,Disegni,"IT, US",P,"Panini Comics, Marvel Comics",
,"Figus, Giorgio",M,Sceneggiatura,IT,P,The Walt Disney Company,
,"Pollicelli, Giuseppe",M,"Disegni, Sceneggiatura",IT,P,"Corriere della Sera/La Lettura, Fumo di China/Freecom, Libero Quotidiano",
,"Trevisan, Giorgio",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Giandelli, Gabriella",F,Autrice unica,IT,GN,"Coconino Press, Canicola Edizioni",
,"Rota, Marco",M,Disegni,IT,P,The Walt Disney Company,
,"Pagani, Emiliano",M,Sceneggiatura,IT,GN,"Tunué, Feltrinelli Editore",
,"Rossi, Armando",M,Disegni,"FR, IT","P, GN","Panini Comics, Casterman",
,"Sfascia, Federico",M,Disegni,IT,GN,Kleiner Flug,
,"Pontrelli, Giorgio",M,Disegni,"IT, US",P,"Sergio Bonelli Editore, AfterShock Comics",
,"Cadelo, Silvio",M,"Disegni, Autore unico",IT,GN,Les Humanoides Associes,
,"Facciolo, Enzo",M,Disegni,IT,P,Astorina,
,"Vianello, Angela",F,Disegni,IT,"P, GN","Sergio Bonelli Editore, Shockdom",
,"Staiano, Lucio",M,Sceneggiatura,IT,GN,Shockdom,
,"Gargano, Stefano",M,Autore unico,IT,GN,Shockdom,
,"Petricelli, Assia",F,Sceneggiatura,IT,GN,Tunué,
,"Antonucci, Stefano",M,Autore unico,IT,GN,"Shockdom, Feltrinelli Editore",
,"Di Sepio, Lorenza",F,Autrice unica,IT,GN,"Magic Press Edizioni, Tunué",
,"Fabbri, Daniele",M,Autore unico,IT,GN,"Shockdom, Feltrinelli Editore",
,"Riccardi, Sergio",M,Disegni,IT,GN,Tunué,
,"Donati, Roberto",M,Sceneggiatura,IT,GN,"Weird Book, EF",
,"Lucchi, Antonio",M,"Disegni, Colori",IT,P,Sergio Bonelli Editore,
,"Camoriano, Paola",F,Autrice unica,IT,GN,Tunué,
,"Bussola, Matteo",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Russo, Luisa",F,"Disegni, Chine, Colori","FR, US","P, GN","Dark Horse Comics, Editions Clair de Lune, Editions du Long Bec, Editions du Signe",
,"Patrovicchio, Lorenzo",M,"Disegni, Sceneggiatura",IT,P,The Walt Disney Company,
,"Menin, Antonio",M,Disegni,FR,GN,Editions des bulles dans l'ocean,Scuola internazionale di Comics - Padova
,"Piacentini, Fabio",M,Disegni,"FR, IT","P, GN","Sergio Bonelli Editore, Editions Glenat",
,"Stellato, Lucilla",F,Disegni,IT,P,Sergio Bonelli Editore,
,"Bufi, Ennio",M,Disegni,IT,"P, GN","Sergio Bonelli Editore, BAO Publishing, ReNoir Comics",
,"Cappiello, Ivan",M,Colori,IT,GN,Edizioni NPE,
,"Vitolo, Ivan",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Ramacci, Fabio",M,Disegni,IT,P,"Sergio Bonelli Editore, Star Comics",
,"Possenti, Christopher",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Pavan, S.",F,"Autrice unica, Lettering",IT,GN,"BAO Publishing, Feltrinelli Editore",
,"Matteuzzi, Francesco",M,Sceneggiatura,IT,GN,Beccogiallo,Scuola internazionale di Comics - Padova
,"Bilisari, Giulio",M,Disegni,IT,GN,Kleiner Flug,
,"Bagliani, Laura",F,Disegni,US,P,Dynamite Entertainment,
,"Scalzo, Alessandro",M,Sceneggiatura,US,P,Dynamite Entertainment,
,"Motta, Paolo",M,Sceneggiatura,IT,GN,"EF edizioni, Edizioni NPE",
,"Rullo, Riccardo",M,Colori,IT,P,Sergio Bonelli Editore,
,"Massagli, Paolo",M,"Disegni, Autore unico",IT,GN,"Hollow Press, Edizioni Inkiostro",
,"Giangiordano, Valerio",M,"Disegni, Chine",US,P,Marvel Comics,
,"Di Francia, Chiara",F,Colori,IT,GN,Edizioni Inkiostro,
,"Manzo, Gianluca",M,Sceneggiatura,IT,GN,Noise Press,
,"Crescenzi, Cristiano",M,Disegni,FR,GN,"Les Humanoides Associes, Editions Glenat",Scuola internazionale di Comics - Roma
,"Tempesta, Adam",M,Autore unico,IT,GN,Eris Edizioni,
,"Ichiguchi, Keiko",F,Autrice unica,IT,GN,Kappalab,Corso di fumetto - Arena del Fumetto (Bologna)
,"Tonetto, Fabio",M,Autore unico,IT,GN,Eris Edizioni,IED - Istituto Europeo di Disegni (Torino)
,"Ruocco, Luca",M,Sceneggiatura,IT,P,Bugs Comics,
,"Capone, Alessandro",M,Autore unico,IT,GN,Hoppipolla,
,"Tentori Montalto, Andrea",M,Colori,IT,GN,Edizioni Inkiostro,
,"De Giovanni, Massimiliano",M,Sceneggiatura,IT,GN,Feltrinelli Editore,Accademia di Belle Arti di Bologna (Corso fumetto e illustrazione)
,"Costantini, Gianluca",M,Autore unico,IT,GN,"Arnoldo Mondadori Editore, Beccogiallo, Eris Edizioni",Accademia di Belle Arti di Bologna (Corso fumetto e illustrazione)
,"Strukul, Matteo",M,Sceneggiatura,IT,GN,Feltrinelli Editore,
,"Dotta, Andrea",M,Disegni,IT,P,The Walt Disney Company,Scuola internazionale di Comics - Genova
,"Matteuci, Agata",F,Autrice unica,IT,GN,Edizioni NPE,
,"Buffa, Alessandro",M,Disegni,IT,GN,Edizioni NPE,
,"Qualano, Pasquale",M,Disegni,"IT, US",P,"Dc Comics, Marvel Comics, IDW Publishing",
,"Conte, Alberto",M,Sceneggiatura,FR,GN,Editions Clair de Lune,
,"Formicola, Cecilia",F,"Disegni, Chine, Colori","FR, IT",GN,"Noise Press, Editions Glenat",
,"Bizzarri, Vincenzo",M,Disegni,"FR, IT",GN,"Hazard Edizioni, Kleiner Flug, Editions Glenat",Scuola internazionale di Comics - Firenze
,"Parascandolo, Emanuele",M,Autore unico,IT,GN,Hazard Edizioni,
,"Mistrello, Elena",F,Autrice unica,IT,GN,"Hazard Edizioni, Beccogiallo",
,"Daniels, Deda",F,"Disegni, Autrice unica",IT,"P, GN","The Walt Disney Company, Shockdom, BD",
,"Antonioni, Eleonora",F,Autrice unica,IT,GN,"Sinnos Editrice, Eris Edizioni",IED - Istituto Europeo di Disegni (Torino)
,"Ruzzier, Sergio",M,Autore unico,"IT, US",GN,Topipittori,
,"Allegretti, Angelo",F,Autrice unica,IT,GN,Hazard Edizioni,
,"Centoducati, Salvatore",M,Autore unico,IT,GN,Hazard Edizioni,
,"Nardella, Stefano",M,Sceneggiatura,"FR, IT",GN,"Hazard Edizioni, Kleiner Flug, Sarbacane",
,"Gastoni, Marco",M,Autore unico,IT,GN,"Tunué, Hazard Edizioni",
,"Manzi, Danilo",M,Autore unico,IT,GN,Hollow Press,
,"Ceglia, Luciano",M,Autore unico,IT,GN,Hazard Edizioni,
,"Martone, Giorgio",M,Autore unico,IT,GN,Hazard Edizioni,
,"Moro, Mattia",M,Autore unico,IT,GN,"Hazard Edizioni, Beccogiallo",
,"Borlini, Barbara",F,Autrice unica,IT,GN,Tunué,
,"Zetti, Luigi",M,Autore unico,IT,GN,Hazard Edizioni,
,"Perri, Emilia Cinzia",F,Sceneggiatura,IT,GN,BD,
,"Sambuco, Samuele",M,Autore unico,IT,GN,Hazard Edizioni,
,"Genchi, David",M,Autore unico,IT,GN,Hollow Press,
,"Mirizzi, Antonio",M,Autore unico,IT,GN,Hazard Edizioni,
,"Vinci, Antonio",M,Autore unico,IT,GN,"Tunué, Hazard Edizioni",Scuola internazionale di Comics - Pescara
,"Memo, Francesco",M,Autore unico,IT,GN,Tunué,
,"Mazzolini, Olga",F,Autrice unica,IT,GN,"Hazard Edizioni, Kleiner Flug",
,"Caccia, Massimo",M,Colori,IT,GN,BD,
,"Storino, Sara",F,Disegni,IT,P,The Walt Disney Company,
,"Giorgetti, Caterina",F,"Disegni, Colori, Sceneggiatura",IT,P,The Walt Disney Company,
,"Portipiano, Emanuela",F,Sceneggiatura,IT,P,The Walt Disney Company,
,"Gentile, Marino",M,Disegni,IT,P,The Walt Disney Company,
,"Marchesi, Mauro",M,Disegni,FR,GN,21g,
,"Fecchi, Massimo",M,Disegni,IT,P,The Walt Disney Company,
,"Frare, Michela",F,Chine,IT,P,The Walt Disney Company,
,"Pochet, Fabio",M,"Disegni, Colori, Sceneggiatura",IT,P,The Walt Disney Company,
,"Enna, Stefano",M,Sceneggiatura,"FR, IT","P, GN","The Walt Disney Company, Editions Glenat",
,"Porcelli, Giustina",F,Sceneggiatura,IT,GN,BD,
,"Usai, Luca",M,Disegni,IT,P,"The Walt Disney Company, It Comics",Scuola internazionale di Comics - Milano
,"Martinoli, Silvia",F,Sceneggiatura,IT,P,The Walt Disney Company,
,"Editions Le Lombardi, Silvia",F,Sceneggiatura,IT,P,The Walt Disney Company,
,"Isaia, Ilaria",F,Sceneggiatura,"IT, US",P,"The Walt Disney Company, Mattel",
,"Orsi, Tea",F,Sceneggiatura,"IT, US",P,"The Walt Disney Company, Panini Comics, Dark Horse Comics, Papercutz",
,"Pisapia, Blasco",M,"Disegni, Sceneggiatura",IT,P,The Walt Disney Company,
,"Camerini, Valentina",F,Sceneggiatura,IT,P,The Walt Disney Company,
,"Forcelloni, Marco",M,"Disegni, Sceneggiatura",IT,P,The Walt Disney Company,
,"De Giuseppe, Lucio",M,Disegni,IT,P,The Walt Disney Company,
,"Bonardi, Luca",M,Disegni,IT,P,The Walt Disney Company,
,"Seccia, Raffaella",F,Chine,IT,P,The Walt Disney Company,
,"Scuderi, Flavia",F,"Disegni, Sceneggiatura",IT,P,The Walt Disney Company,
,"Zanon, Alberto",M,"Disegni, Colori",IT,P,"Sergio Bonelli Editore, The Walt Disney Company",
,"Monteforte Bianchi, Francesco",M,Sceneggiatura,IT,P,The Walt Disney Company,
,"Sisto, Ezio",M,Sceneggiatura,IT,P,The Walt Disney Company,
,"Agrati, Francesca",M,Sceneggiatura,IT,P,The Walt Disney Company,
,"Costa, Davide",M,"Disegni, Sceneggiatura",IT,P,The Walt Disney Company,
,"Nicolai, Riccardo",M,Sceneggiatura,IT,P,The Walt Disney Company,
,"Testa, Matteo",M,Disegni,IT,P,The Walt Disney Company,
,"Manzoni, Monica",F,Sceneggiatura,IT,P,The Walt Disney Company,
,"Buratti, Federico",M,Sceneggiatura,IT,P,The Walt Disney Company,
,"Moscato, Roberto",M,Sceneggiatura,IT,P,The Walt Disney Company,
,"Bolla, Marco",M,"Disegni, Sceneggiatura",IT,P,The Walt Disney Company,Scuola internazionale di Comics - Brescia
,"Sgarzi, Antonella",F,Sceneggiatura,IT,P,The Walt Disney Company,
,"Calderone, Carmelo",M,Autore unico,IT,GN,Lavieri Edizioni,
,"Risuleo, Fulvio",M,"Autore unico, Sceneggiatura",IT,GN,"Coconino Press, 001 Edizioni",
,"De Francisco, Gian Marco",M,Disegni,IT,GN,"Beccogiallo, Cut Up Publishing",Grafite - Scuola di grafica e fumetto (Taranto)
,"Moriconi, Francesco",M,Sceneggiatura,IT,"P, GN","Editoriale Aurea, 001 Edizioni",Scuola internazionale di Comics - Roma
,"Carratello, Veronica",F,Autrice unica,IT,GN,"BAO Publishing, Edizioni NPE",
,"Massaglia, Giulia Francesca",F,Disegni,IT,P,"Astorina, Sergio Bonelli Editore",
,"Carlomagno, French",M,Disegni,IT,GN,BAO Publishing,
,"Pistoia, Thomas",M,Sceneggiatura,IT,P,"Astorina, Sergio Bonelli Editore, It Comics",
,"Bulgheroni, Luca",M,Colori,"FR, IT","P, GN","Astorina, Editions Glenat",
,"Palleschi, Ilaria",F,Autrice unica,IT,GN,BAO Publishing,
,"Guarnaccia, Francesco",M,Autore unico,IT,GN,"BAO Publishing, Rizzoli Lizard Lizard, Feltrinelli Editore",
,"Baroni, Marta",F,Autrice unica,IT,GN,BAO Publishing,
,"Muscatiello, Antonio",M,Disegni,IT,P,Astorina,
,"Aragno, Rachele",F,Autrice unica,IT,GN,BAO Publishing,
,"Pellizzon, Nicolò",M,Autore unico,IT,GN,"Sergio Bonelli Editore, BAO Publishing, Canicola Edizioni",Scuola internazionale di Comics - Milano
,"Aurilia, Davide",M,Disegni,IT,GN,BAO Publishing,Scuola del fumetto (Milano)
,"Finocchiaro, Rosalia",F,Sceneggiatura,IT,P,Astorina,
,"Caretta, Stefania",F,Disegni,IT,P,Astorina,
,"Cuello, Daniel",M,Autore unico,IT,GN,BAO Publishing,The Sign - Comics & Arts Academy (Firenze)
,"Gubitosa, Carlo",M,Sceneggiatura,IT,"P, GN","Beccogiallo, Edizioni NPE, Altrinformazione, GEDI, Frigolandia, Tempesta, Lucky Red/RCS",
,"Vecchini, Silvia",F,Sceneggiatura,IT,GN,"BAO Publishing, Tunué, Editrice Il Castoro",
,"Acciari, Claudio",M,Autore unico,IT,GN,BAO Publishing,
,"Romagnoli, Elisabetta",F,Autrice unica,IT,GN,BAO Publishing,
,"Paliaga, Jacopo",M,Sceneggiatura,IT,GN,"Star Comics, BAO Publishing, Panini Comics",
,"Baronciani, Alessandro",M,Autore unico,IT,GN,BAO Publishing,
,"Bagnarelli, Bianca",F,Autrice unica,"IT, GB",GN,"Coconino Press, Nobrow Press",
,"Cercignano, Anna",F,"Disegni, Autrice unica",IT,GN,Beccogiallo,
,"Macellari, Elisa",F,Autrice unica,IT,GN,BAO Publishing,
,"Madrigal, Alberto",M,Autore unico,IT,GN,BAO Publishing,
,"Ricci, Angelo Maria",M,Disegni,IT,P,Astorina,
,"Altariva, Roberto",M,Sceneggiatura,IT,P,"Astorina, Sergio Bonelli Editore",
,"Ricci, Marco",M,Disegni,IT,P,Astorina,
,"Pasini, Andrea",M,Sceneggiatura,IT,P,Astorina,
,"Ferraresi, Licia",F,Sceneggiatura,IT,P,Astorina,
,"Brandi, Jacopo",M,Disegni,IT,P,Astorina,
,"Zaniboni, Paolo",M,Disegni,IT,P,Astorina,
,"Martinelli, Patricia",F,Sceneggiatura,IT,P,Astorina,
,"Palmas, Angelo",M,"Disegni, Sceneggiatura",IT,P,"Astorina, The Walt Disney Company",
,"Storer, Agnese",F,Disegni,IT,P,Astorina,
,"Vitti, Alessandro",M,Disegni,"IT, US",P,"Panini Comics, Dc Comics, Marvel Comics",Scuola internazionale di Comics - Reggio Emilia
,"Mainardi, Alessandro",M,Sceneggiatura,IT,P,"Astorina, The Walt Disney Company",
,"Nunziati, Riccardo",M,Disegni,IT,P,"Astorina, ReNoir Comics",
,"Piere, Roberto",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Ruggiero, Lorenzo",M,"Chine, Colori",US,P,"Dc Comics, Marvel Comics",Scuola internazionale di Comics - Napoli
,"Bonetti, Elia",M,Disegni,"FR, IT, US",P,"Astorina, Star Comics, Dc Comics, Marvel Comics, Editions Soleil, Editions Glenat",Scuola internazionale di Comics - Reggio Emilia
,"Vanzella, Luca",M,Sceneggiatura,IT,"P, GN","Sergio Bonelli Editore, BAO Publishing, Beccogiallo",Scuola internazionale di Comics - Firenze/Reggio Emilia
,"Fiorentino, Fabrizio",M,Disegni,"FR, IT, US","P, GN","Arnoldo Mondadori Editore, Dc Comics, Marvel Comics, Editions Glenat",Scuola internazionale di Comics - Napoli
,"Genovese, Luca",M,Disegni,IT,"P, GN","Sergio Bonelli Editore, BAO Publishing, Feltrinelli Editore","Scuola internazionale di Comics - Reggio Emilia, Corso di fumetto - Arena del Fumetto (Bologna)"
,"Gianatti, Silvia",F,"Autrice unica, Sceneggiatura",IT,"P, GN","The Walt Disney Company, BAO Publishing",
,"Nerolini, Manuela",F,"Disegni, Colori",IT,"P, GN","Sergio Bonelli Editore, BAO Publishing",
,"Sorrentino, Andrea",M,Disegni,"IT, US",P,"Panini Comics, Dc Comics, Marvel Comics",
,"Barberi, Carlo",M,Disegni,"IT, US",P,"Panini Comics, Dc Comics, Marvel Comics",
,"Maresca, Luca",M,Disegni,IT,P,Sergio Bonelli Editore,
,"D'Ambrosio, Marco",M,Autore unico,IT,GN,"BAO Publishing, Rizzoli Lizard Lizard",
,"De Pieri, Erika",F,"Disegni, Autrice unica",IT,GN,Beccogiallo,
,"Ponticelli, Alberto",M,Disegni,"IT, US",P,"The Walt Disney Company, Marvel Comics, BD",IED - Istituto Europeo di Disegni (Milano)
,"Angri, Tiziano",M,Autore unico,IT,GN,"Coconino Press, BD",
,"Ripoli, Francesco",M,Disegni,"FR, IT","P, GN","Sergio Bonelli Editore, Editions Soleil, BD, Physalis",
,"Mutti, Andrea",M,Disegni,"FR, IT",GN,"Feltrinelli Editore, Editions Glenat, Editions du Rocher",
,"Piana, Matteo",M,Disegni,"FR, IT","P, GN","Sergio Bonelli Editore, Les Humanoides Associes, Editions Delcourt",Scuola del fumetto (Milano)
,"Cardona, Vinci",M,Autore unico,IT,GN,BD,
,"Pagliaro, Alberto",M,Disegni,"FR, IT",GN,"Kleiner Flug, Les Humanoides Associes, Editions Soleil, BD, Editions Delcourt, Editions Glenat",
,"Assirelli, Nicolo",M,Disegni,IT,"P, GN","Sergio Bonelli Editore, BD",
,"Barone, Adriano",M,Sceneggiatura,IT,"P, GN","Sergio Bonelli Editore, Tunué, Beccogiallo",
,"Deninotti, Danilo",M,Sceneggiatura,IT,"P, GN","The Walt Disney Company, Feltrinelli Editore, BD",
,"Bruno, Toni",M,Autore unico,IT,"P, GN","Sergio Bonelli Editore, BAO Publishing",IED - Istituto Europeo di Disegni (Roma)
,"Ferrario, Giuseppe",M,"Disegni, Sceneggiatura",IT,"P, GN","The Walt Disney Company, BD",
,"Santi, Francesca",F,Sceneggiatura,IT,GN,BD,
,"Tamiazzo, Stefano",M,Disegni,"FR, IT",GN,"ReNoir Comics, Editions Paquet",Scuola internazionale di Comics - Padova
,"Fiorelli, Ivan",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Panella, Simon",M,Autore unico,IT,GN,"BD, Edizioni Zanetti, CNR",
,"Alemanno, Matteo",M,Disegni,FR,GN,"Editions Glenat, Dargaud, Editions Dupuis",Scuola internazionale di Comics - Padova
,"Ruggeri, Piero",M,Disegni,FR,GN,"Petit à Petit, Le Cycliste",Corso di fumetto - Arena del Fumetto (Bologna)
,"Cortesi, Simone",M,"Disegni, Autore unico",IT,GN,Beccogiallo,
,"Gamberini, Gabriele",M,Disegni,"FR, IT",GN,"Beccogiallo, Casterman",
,"Castaldi, Paolo",M,Autore unico,IT,GN,"Beccogiallo, Feltrinelli Editore","Scuola superiore d'arte applicata (Milano), Scuola Mohole (Milano)"
,"Barilli, Francesco",M,Sceneggiatura,IT,GN,Beccogiallo,
,"Fenoglio, Matteo",M,Disegni,IT,GN,Beccogiallo,
,"Rizzo, Marco",M,Sceneggiatura,IT,GN,"Rizzoli Lizard Lizard, Beccogiallo, Feltrinelli Editore, BD",
,"Pascutti, Davide",M,Autore unico,IT,GN,"Beccogiallo, Cambourakis",
,"Bonaccorso, Lelio",M,Disegni,IT,GN,"Tunué, Rizzoli Lizard Lizard, Feltrinelli Editore, BD",
,"Bendotti, Giacomo",M,Autore unico,IT,GN,Beccogiallo,
,"Demonte, Matteo",M,Sceneggiatura,IT,GN,Beccogiallo,
,"Talami, Alberto",M,Autore unico,IT,GN,Beccogiallo,
,"Lise, Alessandro",M,Autore unico,IT,GN,Beccogiallo,Scuola internazionale di Comics - Padova
,"Boschetti, Alex",M,Sceneggiatura,IT,GN,Beccogiallo,
,"Sartori, Lorenzo",M,Autore unico,IT,GN,Tunué,Scuola superiore d'arte applicata (Milano)
,"Ciammitti, Anna",F,Disegni,IT,GN,Beccogiallo,
,"Rocchi, Ciaj",M,Disegni,IT,GN,Beccogiallo,
,"Ragona, Andrea",M,Sceneggiatura,IT,GN,Beccogiallo,
,"Giacon, Massimo",M,Disegni,IT,GN,"Rizzoli Lizard Lizard, Panini Comics",IED - Istituto Europeo di Disegni (Milano)
,"Vergari, Luana",F,Sceneggiatura,"FR, IT",GN,"Beccogiallo, Editions Soleil, Editions Jungle, Edizioni NPE",
,"Calia, Claudio",M,Autore unico,IT,GN,"Beccogiallo, Linus",
,"Parisi, Paolo",M,Autore unico,"FR, IT",GN,"Coconino Press, Beccogiallo, Centauria, Sarbacane",
,"Corona, Marco",M,Autore unico,IT,GN,"Coconino Press, Rizzoli Lizard Lizard, 001 Edizioni, Canicola Edizioni",
,"Fior, Manuele",M,Autore unico,"FR, IT",GN,"Coconino Press, Oblomov Edizioni, Editions Dupuis, Futuropolis",
,"Lo Bianco, Fabrizio",M,Sceneggiatura,"FR, IT","P, GN","Play Press, The Walt Disney Company, Tunué, Arnoldo Mondadori Editore, Editions Soleil, Editions Glenat, Tridimensional SRL, San Paolo Periodici, Europublishing",
,"Zeccardo, Paolo",M,Autore unico,IT,GN,"Mangasenpai, Renbooks",Pencil ART (Bari)
,"Corradi, Alberto",M,Autore unico,IT,"P, GN","Panini Comics, Smemoranda, Repubblica XL",Scuola del fumetto (Verona)
,"Tullio Altan, Francesco",M,Autore unico,IT,"P, GN","Coconino Press, Franco Cosimo Panini, EL, Bompiani - Giunti",
,"Martino, Stefano",M,Disegni,"FR, IT","P, GN","Sergio Bonelli Editore, Editions Soleil",
,"Cordone, Gabriella",F,Sceneggiatura,IT,P,Sergio Bonelli Editore,
,"Jacomelli, Fabio",M,Disegni,IT,P,Sergio Bonelli Editore,
,"Bonazzi, Germano",M,Disegni,IT,P,Sergio Bonelli Editore,
