"","Nome d'arte","Nome","Sesso","Attivit‡","Paesi.di.prima.pubblicazione","Mercati","Editori","Insegna.presso","ISBN"
"1046",NA,"Lo Storto, Francesco","M","Disegni","IT, FR, USA","P, GN","…ditions Glenat, IDW Publishing, Star Comics","Scuola internazionale di Comics - Roma",""
"1047",NA,"Locatelli, Alberto","M","Disegni","IT","GN","It Comics, ReNoir Comics","",""
"1048",NA,"Loizedda, Danilo","M","Disegni","IT, FR","P, GN","…ditions Glenat, The Walt Disney Company","Scuola Mohole (Milano)",""
"1049",NA,"Lolli, Matteo","M","Disegni","IT, USA","P","Marvel Comics, Panini Comics","Scuola internazionale di Comics - Reggio Emilia",""
"1050",NA,"Lombardi, Rocco","M","Disegni","IT","GN","BeccoGiallo","",""
"1051",NA,"Lombardi, Silvia","F","Sceneggiatura","IT","P","The Walt Disney Company","",""
"1052",NA,"Lombardo, Ivo","M","Sceneggiatura","IT","P","Sergio Bonelli Editore","",""
"1053",NA,"Lombardo, Spartaco","M","Colori","IT","P","Sergio Bonelli Editore","",""
"1054",NA,"Longo, AlbHey","M","Autore Unico","IT","GN","Bao Publishing","",""
"1055",NA,"Longo, Fabrizio","M","Disegni","IT","P, GN","Bompiani, Einaudi, Sergio Bonelli Editore","Genova Comics Academy",""
"1056",NA,"Lopresti, Claudio","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1057",NA,"Lorusso, Giovanni","M","Disegni","IT, FR","P, GN","Arnoldo Mondadori Editore, …ditions Soleil, Mondadori, Sergio Bonelli Editore","",""
"1058",NA,"Lotti, Enrico","M","Sceneggiatura","IT","P","Astorina, Sergio Bonelli Editore","",""
"1059",NA,"Lovelock, Ryan","M","Disegni","IT, FR","P, GN","Akileos, Editoriale Cosmo","",""
"1060",NA,"Lozzi, Arturo","M","Disegni","IT","P","Panini Comics, Sergio Bonelli Editore","",""
"1061","Astrid","Lucchesi, Stephanie Astrid","F","Disegni","IT","GN","Kleiner Flug","",""
"1062",NA,"Lucchi, Antonio","M","Colori, Disegni","IT","P","Sergio Bonelli Editore","",""
"1063",NA,"Lucci, Andrea","M","Disegni, Sceneggiatura","IT","P","The Walt Disney Company","",""
"1064",NA,"Lucking, Thomas","M","Sceneggiatura","IT","GN","Shockdom","",""
"1065",NA,"Lupacchino, Emanuela","F","Disegni","IT, USA","P","DC Comics, Marvel Comics, Panini Comics","",""
"1066",NA,"Lupattelli, Carita","F","Disegni","FR","GN","Les Humanoides Associes","",""
"1067",NA,"Lusso, Piero","M","Autore Unico, Colori, Sceneggiatura","IT","P, GN","Bugs Comics, MCK Publishing, Panini Comics, San Paolo Periodici, Sbam! Comics, Slow Food","",""
"1068",NA,"Macaione, Giulio","M","Autore Unico","IT, USA","GN","Bao Publishing, BOOM! Studios, Panini Comics","Scuola internazionale di Comics - Reggio Emilia",""
"1069",NA,"Macchetto, Augusto","M","Sceneggiatura","IT","P","The Walt Disney Company","",""
"1070",NA,"Macchiavello, Enrico","M","Autore Unico","IT","GN","GRRRz Comic Art Books","Scuola internazionale di Comics - Genova",""
"1071",NA,"Macellari, Elisa","F","Autrice Unica","IT","GN","Bao Publishing","",""
"1072",NA,"Macioci, Vittoria","F","Disegni","IT","GN","SaldaPress","",""
"1073",NA,"Macola, Piero","M","Autore Unico","IT, FR","GN","Actes Sud, Atrabile, Oblomov Edizioni","",""
"1074",NA,"Maconi, Gian Luca","M","Disegni","IT, FR, USA","P, GN","Alias - il Manifesto, BD, BeccoGiallo, …ditions Soleil, Sergio Bonelli Editore, Star Comics, The Walt Disney Company","Scuola internazionale di Comics - Reggio Emilia, Corso di fumetto - Arena del Fumetto (Bologna)",""
"1075",NA,"Maddaleni, Paolo","M","Colori","USA","P","IDW Publishing","SRF - Scuola Romana dei Fumetti",""
"1076",NA,"Madrigal, Alberto","M","Autore Unico","IT","GN","Bao Publishing","",""
"1077",NA,"Magalotti, Lorenzo","M","Disegni","IT","GN","TunuÈ","",""
"1078",NA,"Maglianesi, Lorenzo","M","Disegni","IT","GN","Noise Press","",""
"1079",NA,"Magliani, Marino","M","Sceneggiatura","IT","GN","TunuÈ","",""
"1080",NA,"Magnasciutti, Fabio","M","Disegni","IT","GN","Barta Edizioni","",""
"1081",NA,"Mainardi, Alessandro","M","Sceneggiatura","IT","P","Astorina, The Walt Disney Company","",""
"1082",NA,"Maini, Paolo","M","Sceneggiatura","IT","GN","Noise Press","",""
"1083",NA,"Makyo, Pierre","M","Sceneggiatura","IT, FR","P, GN","…ditions Delcourt, …ditions Dupuis, …ditions Glenat, Editoriale Cosmo","SRF - Scuola Romana dei Fumetti",""
"1084",NA,"Malara, Diego","M","Disegni","IT, USA","P","DC Comics, Marvel Comics, Panini Comics","",""
"1085",NA,"Malatini, Michael","M","Sceneggiatura","IT","P","Star Comics","",""
"1086",NA,"Malisan, Luca","M","Chine, Colori, Disegni, Lettering","IT, FR","P","…ditions Delcourt, …ditions Glenat, Sergio Bonelli Editore","",""
"1087",NA,"Malosso, Massimo","M","Colori","IT","P","San Paolo Periodici","Scuola internazionale di Comics - Padova",""
"1088",NA,"Mammucari, Emiliano","M","Autore Unico, Disegni","IT","P, GN","Bao Publishing, Sergio Bonelli Editore, Star Comics","The Sign - Comics & Arts Academy (Firenze)",""
"1089",NA,"Mammucari, Matteo","M","Sceneggiatura","IT","P","Sergio Bonelli Editore","",""
"1090",NA,"Manara, Milo","M","Autore Unico, Disegni","IT, FR, USA","GN","COMICON Edizioni, Marvel Comics, Mondadori, Panini Comics","",""
"1091",NA,"Mancinelli, Sergio","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1092",NA,"Mancini, Daniele","M","Sceneggiatura","IT","GN","Shockdom","",""
"1093",NA,"Mancini, Fabio Pia","M","Disegni","IT","GN","Il Battello a Vapore","",""
"1094",NA,"Mancuso, Federico","M","Disegni","IT","P","The Walt Disney Company","",""
"1095",NA,"Mandalari, Mauro","M","Disegni","USA","P","Absolute Comics, Titan Comics","",""
"1096",NA,"Mandanici, Patrizia","F","Colori, Disegni","IT","P","Sergio Bonelli Editore","",""
"1097",NA,"Manera, Matteo","M","Disegni","IT","GN","BD","",""
"1098",NA,"Manfredi, Federica","F","Disegni","IT, FR, USA","P","IDW Publishing, Marvel Comics","",""
"1099",NA,"Manfredi, Gianfranco","M","Sceneggiatura","IT","P","Sergio Bonelli Editore","",""
"1100",NA,"Mangiantini, Marcello","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1101",NA,"Mangiatordi, Vitale","M","Disegni","IT","P","The Walt Disney Company","",""
"1102",NA,"Manieri, Stefano","M","Disegni","IT","P","Bugs Comics, Edizioni INKiostro","",""
"1103",NA,"Manna, Francesco","M","Disegni","FR, USA","P, GN","…ditions Glenat, Marvel Comics","",""
"1104",NA,"Manni, Fiore","F","Autrice Unica","IT","GN","Shockdom","",""
"1105",NA,"Mantero, Maurizio","M","Sceneggiatura","IT","P","ReNoir Comics, Sergio Bonelli Editore","",""
"1106",NA,"Mantovani, Fabio","M","Disegni","FR","GN","…ditions Delcourt, Les Humanoides Associes","Scuola internazionale di Comics - Roma",""
"1107",NA,"Manunta, Giuseppe","M","Disegni","IT, FR","P, GN","…ditions Clair de Lune, …ditions du Long Bec, The Walt Disney Company","",""
"1108","Hurricane","Manuppelli, Ivan","M","Autore Unico","IT","GN","Einaudi, Eris Edizioni","Scuola Mohole (Milano)",""
"1109",NA,"Manzi, Danilo","M","Autore Unico","IT","GN","Hollow Press","",""
"1110",NA,"Manzo, Gianluca","M","Sceneggiatura","IT","GN","Noise Press","",""
"1111",NA,"Manzone, Federico","M","Autore Unico","IT","GN","Canicola Edizioni","",""
"1112",NA,"Manzoni, Monica","F","Sceneggiatura","IT","P","The Walt Disney Company","",""
"1113",NA,"Marchese, Giovanni","M","Sceneggiatura","IT","GN","TunuÈ","",""
"1114",NA,"Marchesi, Mauro","M","Disegni","FR","GN","21g","",""
"1115",NA,"Marchisio, Giada","F","Colori","IT","P","Sergio Bonelli Editore","",""
"1116",NA,"Marconi, Massimo","M","Sceneggiatura","IT","P","The Walt Disney Company","",""
"1117",NA,"Maresca, Luca","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1118",NA,"Maresta, Werner","M","Disegni","IT","P","ReNoir Comics, Sergio Bonelli Editore","",""
"1119",NA,"Margiotta, Paolo","M","Sceneggiatura","IT","GN","Shockdom","",""
"1120",NA,"Mari, Nicola","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1121",NA,"Mariani, Susanna","F","Disegni","IT","GN","BeccoGiallo","",""
"1122",NA,"Mariem Hassan, Andromalis","F","Disegni","IT","GN","Barta Edizioni","",""
"1123",NA,"Marinelli, Francesca","F","Disegni","FR","GN","Feles","",""
"1124",NA,"Marinetti, Antonio","M","Disegni","IT, FR","P, GN","…ditions Soleil, Sergio Bonelli Editore","",""
"1125",NA,"Marinetti, Raffaele","M","Disegni","IT","GN","Edizioni NPE","",""
"1126",NA,"Marini, Enrico","M","Disegni, Sceneggiatura","FR","GN","Dargaud","",""
"1127",NA,"Marini, Roberto","M","Disegni","IT","P","The Walt Disney Company","",""
"1128",NA,"Marino, Silvia","F","Disegni","IT","P","Aurea Editoriale, Editoriale Aurea","Scuola Chiavarese del Fumetto",""
"1129",NA,"Maroh, Julie","F","Autrice Unica","FR","GN","…ditions Glenat, Panini Comics","",""
"1130",NA,"Marolla, Samuel","M","Sceneggiatura","IT","P","Sergio Bonelli Editore","",""
"1131",NA,"Marotta, Daniele","M","Autore Unico","IT","GN","Effequ, Minimum Fax","Scuola di fumetto e scrittura (Siena)",""
"1132",NA,"Marra, Christian G.","M","Autore Unico","IT","GN","Passenger Press","Scuola Mohole (Milano)",""
"1133",NA,"Marras, Giorgia","F","Autrice Unica","IT, FR","GN","Diabolo Edizioni, Steinkis","",""
"1134",NA,"Marsiglia, Stefano","M","Sceneggiatura","IT","P","Editoriale Cosmo, Sergio Bonelli Editore","",""
"1135",NA,"Marsili, Alessandra ""AmarsÏ""","F","Disegni","FR","GN","Ankama …ditions, Sarbacane","",""
"1136",NA,"Marsoli, Lisa","F","Sceneggiatura","IT","P","The Walt Disney Company","",""
"1137",NA,"Martellini, Marco","M","Disegni","IT","GN","Edizioni NPE","",""
"1138",NA,"Martello, Annapaola","F","Disegni","IT, USA","P","Bugs Comics, Marvel Comics, Vestron, Zenescope","",""
"1139",NA,"Martinelli, Gloria","F","Colori","IT","P","Sergio Bonelli Editore","Scuola Mohole (Milano)",""
"1140",NA,"Martinelli, Patricia","F","Sceneggiatura","IT","P","Astorina","",""
"1141",NA,"Martinelli, Sara","F","Colori","FR","GN","…ditions Delcourt","",""
"1142",NA,"Martinello, Paolo","M","Disegni","IT, FR","P, GN","…ditions Glenat, Sergio Bonelli Editore","Scuola internazionale di Comics - Reggio Emilia, Corso di fumetto - Arena del Fumetto (Bologna)",""
"1143","Nebbioso","Martini, Enrico","M","Sceneggiatura","IT","GN","Shockdom, TunuÈ","",""
"1144",NA,"Martino, Emiliano","M","Disegni","IT","GN","BeccoGiallo","",""
"1145",NA,"Martino, Lorenzo","M","Disegni","IT","GN","BeccoGiallo","",""
"1146",NA,"Martino, Stefano","M","Disegni","IT, FR","P, GN","…ditions Soleil, Sergio Bonelli Editore","",""
"1147",NA,"Martinoli, Silvia","F","Sceneggiatura","IT","P","The Walt Disney Company","",""
"1148",NA,"Martone, Giorgio","M","Autore Unico","IT","GN","Hazard Edizioni","",""
"1149","Martoz","Martorelli, Alessandro","M","Autore Unico","IT","GN","Canicola Edizioni, Coconino Press, Feltrinelli Editore, MalEdizioni, Shockdom","Scuola internazionale di Comics - Milano, IED - Istituto Europeo di Disegni (Roma)",""
"1150",NA,"Martusciello, Alessia","F","Disegni","IT","P","Sergio Bonelli Editore, The Walt Disney Company","",""
"1151",NA,"Maruccia, Alessio","M","Chine, Disegni","IT","P","Bugs Comics","",""
"1152",NA,"Marzano, Giancarlo","M","Disegni","IT","P, GN","Edizioni INKiostro, Sergio Bonelli Editore","",""
"1153",NA,"Marzocchi, Leila","F","Autrice Unica","IT","GN","Coconino Press, Oblomov Edizioni","",""
"1154",NA,"Masala, Guido","M","Disegni","IT","P","Sergio Bonelli Editore","Fum√© Scuola di fumetto",""
"1155",NA,"Masaya, Martina","F","Autrice Unica","IT","GN","Shockdom","",""
"1156",NA,"Mascolo, Fabiana","F","Colori, Disegni","IT, USA","P, GN","BD, BOOM! Studios, Cosmo Editoriale, Editoriale Aurea, Editoriale Cosmo, Feltrinelli Editore, Scout Comics","",""
"1157",NA,"Masellis, Helena","F","Disegni","IT, FR, USA","P","A Wave Blue World, Bugs Comics, …ditions Caurette, Petit ‡ Petit, Remer Comics, Sergio Bonelli Editore","",""
"1158",NA,"Masi, Giovanni","M","Sceneggiatura","IT","P, GN","Bao Publishing, Sergio Bonelli Editore","",""
"1159",NA,"Masiero, Michele","M","Sceneggiatura","IT","P","Sergio Bonelli Editore","",""
"1160",NA,"Masini, Jacopo","M","Sceneggiatura","IT","GN","Edizioni INKiostro","",""
"1161",NA,"Masperi, Sergio","M","Sceneggiatura","IT","P","Sergio Bonelli Editore","",""
"1162",NA,"Massa, Enrico","M","Disegni","IT","P","Sergio Bonelli Editore","Scuola Chiavarese del Fumetto",""
"1163",NA,"Massacci, Alex","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1164",NA,"Massaggia, Alberto","M","Disegni, Sceneggiatura","IT, USA","P","Noise Press, Scout Comics, Sergio Bonelli Editore, Shockdom","",""
"1165",NA,"Massagli, Paolo","M","Autore Unico, Disegni","IT","GN","Edizioni INKiostro, Hollow Press","",""
"1166",NA,"Massaglia, Giulia Francesca","F","Disegni","IT","P","Astorina, Sergio Bonelli Editore","",""
"1167",NA,"Massimo, Pako","M","Disegni","IT","P, GN","Cut Up Publishing, Sergio Bonelli Editore","Scuola italiana di Comix (Napoli)",""
"1168",NA,"Mastantuono, Corrado","M","Disegni, Sceneggiatura","IT","P","Sergio Bonelli Editore, The Walt Disney Company","",""
"1169",NA,"Mastragostino, Matteo","M","Sceneggiatura","IT","GN","BeccoGiallo","",""
"1170",NA,"Mastrantuono, Stefano","M","Disegni","IT","P","Bugs Comics","",""
"1171",NA,"Matera, Adele","F","Autrice Unica, Colori","IT","P, GN","Bao Publishing, Sergio Bonelli Editore","",""
"1172",NA,"Matrone, Marco","M","Autore Unico, Colori","IT","P, GN","Bao Publishing, Sergio Bonelli Editore","",""
"1173",NA,"Matteoni, Giuseppe","M","Disegni","IT","P","Sergio Bonelli Editore","SRF - Scuola Romana dei Fumetti",""
"1174",NA,"Matteucci, Agata","F","Autrice Unica","IT","GN","Edizioni NPE","",""
"1175",NA,"Matteuzzi, Francesco","M","Sceneggiatura","IT","GN","BeccoGiallo","Scuola internazionale di Comics - Padova",""
"1176",NA,"Matticchio, Franco","M","Autore Unico","IT","GN","Rizzoli Lizard","",""
"1177",NA,"Mattina, Francesco","M","Disegni","IT","P","Panini Comics","",""
"1178",NA,"Mattioni, Ilaria","F","Autrice Unica","IT","GN","Bao Publishing","",""
"1179",NA,"Mattone, Italo","M","Disegni","IT","P","ReNoir Comics, Sergio Bonelli Editore","Scuola internazionale di Comics - Napoli",""
"1180",NA,"Mattotti, Lorenzo","M","Autore Unico, Disegni","IT","GN","Coconino Press, COMICON Edizioni, Logos Edizioni","",""
"1181",NA,"Mauro, Pedro","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1182",NA,"Mazza, Ettore","M","Autore Unico","IT","GN","BD","",""
"1183",NA,"Mazzanti, Attilio","M","Autore Unico","FR","GN","…ditions Soleil","",""
"1184",NA,"Mazzara, Aurelio","M","Disegni","IT","P","The Walt Disney Company","",""
"1185",NA,"Mazzarello, Marco","M","Disegni","IT","P","The Walt Disney Company","",""
"1186",NA,"Mazzetti, Sarah","F","Autrice Unica","IT","GN","Canicola Edizioni","",""
"1187",NA,"Mazzocco, Luca","M","Sceneggiatura","IT","P","Aurea Editoriale, Editoriale Aurea","Scuola internazionale di Comics - Padova",""
"1188",NA,"Mazzoleni, Gabriele","M","Sceneggiatura","IT","P","The Walt Disney Company","",""
"1189",NA,"Mazzoli, Leonardo","M","Disegni","IT","GN","BeccoGiallo","",""
"1190",NA,"Mazzolini, Olga","F","Autrice Unica","IT","GN","Hazard Edizioni, Kleiner Flug","",""
"1191",NA,"Mazzon, Michele","M","Disegni","IT","P","The Walt Disney Company","",""
"1192",NA,"Medda, Michele","M","Sceneggiatura","IT","P","Sergio Bonelli Editore, The Walt Disney Company","",""
"1193",NA,"Medri, Denis","M","Disegni","IT, USA","P, GN","DC Comics, IDW Publishing, Rizzoli Lizard","",""
"1194",NA,"Medulla, Alessandra","F","Colori","IT","GN","BeccoGiallo","",""
"1195",NA,"Melaranci, Elisabetta","F","Disegni","IT","P","Sergio Bonelli Editore, The Walt Disney Company","",""
"1196",NA,"Melarosa, Alessandra","F","Autrice Unica","IT","GN","Edizioni NPE","",""
"1197","Dakar","Meli, Roberto","M","Disegni","IT","P, GN","Mondadori, ReNoir Comics, Sergio Bonelli Editore","",""
"1198",NA,"Melis, Roberto","M","Disegni","IT","GN","Arnoldo Mondadori Editore, Kleiner Flug, ReNoir Comics, Sergio Bonelli Editore","",""
"1199",NA,"Meloni, Andrea","M","Colori","IT, FR","P, GN","…ditions Glenat, Sergio Bonelli Editore","",""
"1200",NA,"Meloni, Marco","M","Disegni, Sceneggiatura","IT","P","San Paolo Periodici, The Walt Disney Company","Fum√© Scuola di fumetto",""
"1201",NA,"Memo, Francesco","M","Autore Unico","IT","GN","TunuÈ","",""
"1202",NA,"Meneghel, Elisa","F","Autrice Unica","IT","GN","BD","",""
"1203",NA,"Menetti, Sara","F","Autrice Unica","IT","GN","Feltrinelli Editore","Corso di fumetto - Arena del Fumetto (Bologna)",""
"1204",NA,"Menichetti, Chiara","F","Sceneggiatura","IT","GN","Shockdom","",""
"1205",NA,"Menin, Antonio","M","Disegni","FR","GN","Editions des bulles dans l'ocean","Scuola internazionale di Comics - Padova",""
"1206",NA,"Menini, Elisa","F","Autrice Unica","IT","GN","Oblomov Edizioni","",""
"1207",NA,"Mennillo, Angelo","M","Autore Unico, Disegni","FR","GN","Rackham","",""
"1208",NA,"Merati, Luigi","M","Disegni","IT","P","Astorina","",""
"1209","Don Alemanno","Mereu, Alessandro","M","Autore Unico","IT","GN","Magic Press Edizioni","",""
"1210",NA,"Mericone, Silvia","F","Sceneggiatura","IT","P","Sergio Bonelli Editore, Star Comics","",""
"1211",NA,"Merli, Anna","F","Colori, Disegni","IT","P, GN","Bao Publishing, The Walt Disney Company","",""
"1212",NA,"Merli, Luca","M","Colori, Disegni","IT, FR","P, GN","…ditions Delcourt, …ditions Glenat, …ditions Soleil, Panini Comics, The Walt Disney Company","",""
"1213",NA,"Messina, David","M","Disegni","IT, USA","P","DC Comics, Marvel Comics, Panini Comics","Scuola internazionale di Comics - Roma",""
"1214",NA,"Messina, Doris","F","Colori","IT","P","The Walt Disney Company","",""
"1215",NA,"Messina, Ediberto","M","Disegni","IT","P","Aurea Editoriale, Editoriale Aurea","",""
"1216",NA,"Messina, Federica","F","Autrice Unica","IT","GN","Shockdom","",""
"1217",NA,"Meucci, Andrea","M","Sceneggiatura","IT","GN","BD, Kleiner Flug","",""
"1218",NA,"Mezzavilla, Silvano","M","Sceneggiatura","IT","P","The Walt Disney Company","",""
"1219",NA,"Micelli, Alessandro","M","Disegni","USA","P","Oni Press, Valiant Entertainment","",""
"1220",NA,"Michelazzo, Ernesto","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1221",NA,"Michelini, Fabio","M","Sceneggiatura","IT","P","The Walt Disney Company","",""
"1222",NA,"Michelon, Giacomo","M","Disegni, Sceneggiatura","IT","P","MCK Publishing, Panini Comics","",""
"1223",NA,"Michieli, Lucio","M","Chine","IT","P","The Walt Disney Company","",""
"1224",NA,"Migheli, Roberta","F","Disegni","IT","P","The Walt Disney Company","",""
"1225",NA,"Mignacco, Luigi","M","Sceneggiatura","IT","P","Sergio Bonelli Editore, The Walt Disney Company","",""
"1226",NA,"Milani, Alice","F","Autrice Unica","IT","GN","BeccoGiallo, Feltrinelli Editore","",""
"1227",NA,"Milano, Luciano","M","Disegni","IT","P","The Walt Disney Company","",""
"1228",NA,"Milano, Mario","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1229",NA,"Milazzo, Ivo","M","Disegni","IT","P, GN","Bao Publishing, Edizioni NPE, Sergio Bonelli Editore","",""
"1230",NA,"Milone, Mirko","M","Autore Unico, Chine","IT","GN","Carocci, Ente editoriale per l'Arma dei Carabinieri, Ivvi","",""
"1231",NA,"Minciaroni, Davide","M","Autore Unico","IT","GN","BD","",""
"1232",NA,"Minotti, Pierluigi","M","Disegni","IT","P","Bugs Comics, Editoriale Cosmo, Sergio Bonelli Editore","",""
"1233",NA,"Miola, Stefania","F","Colori","IT","P","Sergio Bonelli Editore","",""
"1234",NA,"Mirabella, Maria Letizia","F","Lettering","IT","P, GN","Atlantyca, Editoriale Cosmo, Magic Press Edizioni, NonaArte, Panini Comics, Playmaker, Sergio Bonelli Editore, TunuÈ","",""
"1235",NA,"Miracolo, Alessandro","M","Disegni","IT, USA","P, GN","IDW Publishing, Noise Press","",""
"1236",NA,"Miriade, Chiara","F","Colori","IT","GN","Noise Press","",""
"1237",NA,"Mirizzi, Antonio","M","Autore Unico","IT","GN","Hazard Edizioni","",""
"1238",NA,"Mirulla, Elena","F","Autrice Unica","IT","GN","Cronache di Topolinia","",""
"1239",NA,"Mistrello, Elena","F","Autrice Unica","IT","GN","BeccoGiallo, Hazard Edizioni","",""
"1240",NA,"Mlinaric, Antonio","M","Disegni","IT","P","Bugs Comics, Editoriale Cosmo","",""
"1241",NA,"MÚ, Lorenzo","M","Autore Unico","IT","GN","Coconino Press, Eris Edizioni","",""
"1242",NA,"Mobili, Francesco","M","Disegni","IT, USA","P","DC Comics, Marvel Comics, Panini Comics","",""
"1243",NA,"Mocci, Daniele","M","Sceneggiatura","IT, FR","GN","…ditions Clair de Lune, Gaghi, TunuÈ","Fum√© Scuola di fumetto",""
"1244",NA,"Mogavino, Simona","F","Sceneggiatura","FR","GN","…ditions Delcourt, …ditions Glenat","",""
"1245",NA,"Mognato, Caterina","F","Sceneggiatura","FR","GN","…ditions Glenat","",""
"1246",NA,"Molinari, Lara","F","Disegni","IT","P","The Walt Disney Company","",""
"1247","Mangaka96","Molinaro, Luca","M","Autore Unico","IT","GN","Shockdom","",""
"1248",NA,"Molinaro, Luca","M","Sceneggiatura","IT","GN","Shockdom","",""
"1249",NA,"Monastra, Gianluca","M","Sceneggiatura","IT","GN","Round Robin","",""
"1250","Laca","Montagliani, Luca","M","Autore Unico","IT","P, GN","Annexia, Cut Up Publishing, Max Bunker Press","",""
"1251",NA,"Montalbano, Claudio","M","Disegni","IT","P, GN","Edizioni INKiostro, Sergio Bonelli Editore","",""
"1252",NA,"Montanari, Giuseppe","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1253",NA,"Montanini, Angelo","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1254",NA,"Monteduro, Max","M","Disegni, Sceneggiatura","IT","P","The Walt Disney Company","Scuola internazionale di Comics - Firenze",""
"1255",NA,"Monteforte Bianchi, Francesco","M","Sceneggiatura","IT","P","The Walt Disney Company","",""
"1256",NA,"Monteleone, Michele","M","Autore Unico","IT","P, GN","Bao Publishing, Sergio Bonelli Editore, Star Comics","",""
"1257",NA,"Montelli, Flavio","M","Autore Unico","FR","GN","Casterman","",""
"1258","Darkam","Monti, Eugenia","F","Disegni","IT","GN","BeccoGiallo","",""
"1259",NA,"Monti, Giacomo","M","Autore Unico","IT","GN","Canicola Edizioni","",""
"1260",NA,"Montorio, Giorgio","M","Disegni","IT","P","Astorina","",""
"1261",NA,"Morando, Davide","M","Sceneggiatura","IT","GN","Genova Comics Academy","",""
"1262",NA,"Moranelli, Romina","F","Disegni","IT, FR, USA","P, GN","…ditions Clair de Lune, Marvel Comics, The Walt Disney Company","",""
"1263",NA,"Morelli, Valeria","F","Lettering","IT","GN","Edizioni NPE","",""
"1264",NA,"Moretta, Vittoria ""Vitt""","F","Autrice Unica","IT","GN","Coconino Press","",""
"1265",NA,"Moretti, Nora","F","Disegni","IT, FR","GN","…ditions Soleil, ReNoir Comics","",""
"1266","Tommy Gun","Moretti, Tommaso","M","Autore Unico","IT","GN","Eris Edizioni","",""
"1267",NA,"Morettini, Elia","M","Disegni","IT","GN","BD","",""
"1268",NA,"Morici, Giuseppe","M","Colori, Disegni","IT","GN","BeccoGiallo","",""
"1269",NA,"Moriconi, Francesco","M","Sceneggiatura","IT","P, GN","001 Edizioni, Aurea Editoriale, Editoriale Aurea","Scuola internazionale di Comics - Roma",""
"1270",NA,"Morisi, Paolo","M","Autore Unico","IT","GN","KappaLab","",""
"1271",NA,"Mormile, Cristina","F","Disegni","IT","P","Sergio Bonelli Editore","",""
"1272",NA,"Moro, Mattia","M","Autore Unico","IT","GN","BeccoGiallo, Hazard Edizioni","",""
"1273",NA,"Moroni, Alessio","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1274",NA,"Morri, Mabel","F","Autrice Unica","IT","GN","KappaLab","",""
"1275",NA,"Morris, Rachele","F","Disegni","IT","GN","BeccoGiallo","",""
"1276",NA,"Morrone, Manolo","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1277",NA,"Mortarino, Francesco","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1278","Il Baffo","Mosca, Giulio","M","Autore Unico","IT","GN","Longanesi, Shockdom","",""
"1279",NA,"Mosca, Matteo","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"1280",NA,"Moscato, Roberto","M","Sceneggiatura","IT","P","The Walt Disney Company","",""
"1281",NA,"Mossa, Andres J.","M","Colori, Disegni","IT, USA","P","Marvel Comics, Sergio Bonelli Editore","Grafite - Scuola di grafica e fumetto (Taranto)",""
"1282",NA,"Motta, Paolo","M","Sceneggiatura","IT","GN","Edizioni NPE, EF Edizioni","",""
"1283",NA,"Mottura, Paolo","M","Disegni, Sceneggiatura","IT","P","The Walt Disney Company","",""
"1284","Officina infernale","Mozzato, Andrea","M","Autore Unico","IT","GN","BeccoGiallo, Eris Edizioni","",""
"1285",NA,"Mucciacito, Francesco","M","Disegni","IT, FR","GN","Arnoldo Mondadori Editore, …ditions Delcourt, …ditions Soleil, Mondadori","",""
"1286","Joe1","Muci, Roberta","F","Autrice Unica","IT","GN","Diabolo Edizioni, Feltrinelli Editore","",""
"1287",NA,"Muhova, Kalina","F","Autrice Unica","IT","GN","Canicola Edizioni, TunuÈ","",""
"1288",NA,"Mulazzi, Paola","F","Sceneggiatura","IT","P","The Walt Disney Company","",""
"1289",NA,"Munarini, Stefano","M","Sceneggiatura","IT","GN","BD","",""
"1290",NA,"Munoz, JosÈ","M","Autore Unico, Disegni","IT","GN","Coconino Press, Oblomov Edizioni","",""
"1291","Maya Art","Mura, Martina","F","Autrice Unica","IT","GN","Mangasenpai","",""
"1292",NA,"Muscatiello, Antonio","M","Disegni","IT","P","Astorina","",""
"1293",NA,"Musumeci, Alessandro","M","Colori","IT","P","Sergio Bonelli Editore","",""
"1294",NA,"Mutti, Andrea","M","Disegni","IT, FR","GN","Editions du Rocher, …ditions Glenat, Feltrinelli Editore","",""
"1295",NA,"Muzzolini, Maria","F","Sceneggiatura","IT","P","The Walt Disney Company","",""
"1296",NA,"Nanni, Giacomo","M","Autore Unico","IT, FR","GN","Cambourakis, Canicola Edizioni, Coconino Press, Cornelius, CornÈlius, Ici MÍme, Rizzoli Lizard","",""
"1297",NA,"Narciso, Massimiliano","M","Disegni","IT","P","The Walt Disney Company","",""
