"","Nome d'arte","Nome","Sesso","Attivit‡","Paesi.di.prima.pubblicazione","Mercati","Editori","Insegna.presso","ISBN"
"218",NA,"Boccanfuso, Emanuele","M","Disegni","IT","P","Sergio Bonelli Editore","Scuola Mohole (Milano)",""
"219",NA,"Boccato, Claudia","F","Colori","IT","P","Sergio Bonelli Editore","",""
"220",NA,"Bocci, Alessandro","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"221",NA,"Bogani, Giulio","M","Sceneggiatura","IT","GN","Kleiner Flug","",""
"222",NA,"Bogani, Riccardo","M","Disegni","USA","P","Zenescope","",""
"223",NA,"Bolla, Marco","M","Disegni, Sceneggiatura","IT","P","The Walt Disney Company","Scuola internazionale di Comics - Brescia",""
"224",NA,"Bolzoni, Lorenzo","M","Lettering","IT","GN","Bao Publishing","",""
"225",NA,"Bonaccorso, Emiliano","M","Disegni","FR","GN","Eris Edizioni","",""
"226",NA,"Bonaccorso, Lelio","M","Disegni","IT","GN","BD, Feltrinelli Editore, Rizzoli Lizard, TunuÈ","",""
"227",NA,"Bonacorsi, Gianenrico","M","Disegni","FR","GN","…ditions Glenat","",""
"228",NA,"Bonaffino, Dario","M","Disegni","IT","GN","BeccoGiallo","",""
"229",NA,"Bonaiuti, Daniele","M","Disegni","IT","GN","BeccoGiallo","",""
"230",NA,"Bonanno, Francesco","M","Disegni","IT","P, GN","ReNoir Comics, Sergio Bonelli Editore","",""
"231",NA,"Bonardi, Luca","M","Disegni","IT","P","The Walt Disney Company","",""
"232",NA,"Bonazzi, Germano","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"233",NA,"Bonazzi, Stefano","M","Sceneggiatura","IT","GN","BeccoGiallo, Cronache di Topolinia","",""
"234",NA,"Bonessi, Luca","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"235",NA,"Bonesso, Diego","M","Disegni","IT","P","Sergio Bonelli Editore","",""
"236",NA,"Bonetti, Elia","M","Disegni","IT, FR, USA","P ","Astorina, DC Comics, …ditions Glenat, …ditions Soleil, Marvel Comics, Star Comics","Scuola internazionale di Comics - Reggio Emilia",""
"237",NA,"Bonetti, Fabio","M","Autore Unico","IT","GN","MalEdizioni","",""
